,cost,cost,duration,duration
,min,mean,mean,median
instance,,,,
C101.txt,7768.463776681167,7886.139599446843,192.1616259098053,184.0645890235901
C102.txt,7919.224711599303,7957.633566066096,299.335272026062,284.75590443611145
C103.txt,7993.205818198234,8090.3139338486635,452.0037649154663,399.5544674396515
C104.txt,8340.8965217208,8362.945384037292,551.5074925899505,552.08180975914
C105.txt,7836.6396894157715,7976.8105408302945,222.48819036483764,228.89474606513977
C106.txt,7849.919936677661,7930.014496268409,269.70580711364744,269.1102828979492
C107.txt,7986.944895430179,8105.348266130689,255.6277488231659,242.68182849884036
C201.txt,5695.340767726337,5717.498310242891,228.86385250091553,207.9518687725067
C202.txt,5686.621773468125,5703.5636078485795,691.4637246131897,637.1108283996582
C203.txt,5687.1865954682735,5703.303072752156,1349.0599192142486,1151.045953989029
C204.txt,5677.65628633467,5683.783689454049,1602.3874049186707,1600.544170379639
C205.txt,5691.69837395757,5808.5402998924665,381.4020583152771,382.2223401069641
C206.txt,5691.69837395757,5763.048679136654,566.7765802383423,582.2144467830658
C207.txt,5692.411535001009,5721.029500509827,535.5197095394135,592.3695044517517
R101.txt,4594.972653633663,4612.381141150056,211.87579097747803,186.4342966079712
R102.txt,4446.0512754781785,4497.6380472527,371.4738317012787,333.35447454452515
R103.txt,4438.289432413473,4493.4067763990915,515.5045139312745,459.41403555870056
R104.txt,4311.940950521323,4463.797627436545,538.02667927742,524.5774540901184
R105.txt,4417.575813321822,4486.124319756594,248.88586030006408,266.0878405570984
R106.txt,4477.971233124359,4491.056862983528,411.8851140499115,435.5946452617645
R107.txt,4442.6531357580925,4485.421332840201,526.9717211723328,530.056346654892
R201.txt,3528.8935184423854,3554.97411742411,265.9414216995239,257.955774307251
R202.txt,3365.175405361102,3389.6439347042797,591.6557287693024,580.066400051117
R203.txt,3205.8598979838566,3224.348508790338,1118.6852209091187,998.2182233333588
R204.txt,3070.466957057138,3097.8790169731574,1795.0998589515686,1819.3428463935848
R205.txt,3297.047888031585,3340.7845907944366,516.5590754508972,494.9903635978699
R206.txt,3236.758472230279,3277.071540402293,944.1173341274261,937.358855009079
R207.txt,3144.3148191223863,3171.299508723478,1649.6423001289368,1459.3107388019562
RC101.txt,5495.451906213539,5567.625321847171,203.92625284194946,181.36600279808044
RC102.txt,5376.603969184735,5431.307134770197,285.0029802799225,256.4666759967804
RC103.txt,5181.506296340046,5338.503952930044,445.0638136386871,364.47593426704407
RC104.txt,5038.268587871082,5185.700611238722,473.77991394996644,473.3289210796356
RC105.txt,5258.724009124858,5481.11513885798,275.7923373222351,278.38313603401184
RC106.txt,5347.731983767054,5425.92223255035,309.62293496131895,313.6694757938385
RC107.txt,5165.119319412079,5252.461769272577,493.5738302707672,431.5953681468964
RC201.txt,4732.201283678655,4798.204067096476,502.66304459571836,458.3018808364868
RC202.txt,4489.306616604046,4614.12600602069,1059.1550485134126,923.4369673728944
RC203.txt,4354.903806678647,4438.177471008237,1462.7616809844972,1463.3457055091858
RC204.txt,4192.221940902576,4284.060043722862,2284.91017370224,2300.7083220481877
RC205.txt,4592.219395609181,4700.982830158342,802.2815087795258,833.2282350063324
RC206.txt,4498.573114872216,4587.599722999413,901.0375408649445,890.1989154815674
RC207.txt,4365.478071187477,4475.997128142827,1493.2189217567443,1274.7019438743591
