,cost,cost,duration,duration
,min,mean,mean,median
instance,,,,
C101.txt,7654.577193973548,7755.465845770082,261.16167464256284,261.06683564186096
C102.txt,7826.120929704814,7874.857132967032,407.688622045517,361.5385746955872
C103.txt,7936.70680706546,8063.964895809962,590.9503743171692,543.3144752979279
C104.txt,8127.286634142512,8210.18988153061,786.576251411438,834.178281545639
C105.txt,7794.489641316806,7913.837713446298,257.5680115699768,264.4085023403168
C106.txt,7736.046464361565,7881.044415836159,273.7396097660065,271.5015726089477
C107.txt,7812.641841704246,7959.587720457622,294.76692209243777,306.6980438232422
C201.txt,5701.453990706397,5912.048653077488,384.79343423843386,267.86827206611633
C202.txt,5690.757031090287,5729.624400075323,681.4894932746887,796.9475705623627
C203.txt,5686.384214751421,5714.3157522461615,1399.3857316970825,1468.6172380447388
C204.txt,5677.65628633467,5706.834067079304,1880.8271653175354,1939.9282939434047
C205.txt,5698.433617347325,5735.113703656789,434.38467025756836,401.0071485042572
C206.txt,5693.248177448306,5719.896297629932,597.8068500041961,547.2508015632629
C207.txt,5687.349899369032,5819.359601972506,678.7007737636566,659.5968637466431
R101.txt,4482.2533612981215,4575.939889796195,383.2836059570312,324.07207202911377
R102.txt,4484.466217566212,4525.811829065004,485.9648260593414,482.8744578361511
R103.txt,4354.525226321403,4432.801940461895,701.1978236198426,699.746563911438
R104.txt,4359.383073433412,4410.174963055998,975.4361833095551,801.4606349468231
R105.txt,4442.193674799572,4480.162335053705,328.4312730789185,335.5174517631531
R106.txt,4387.45726863682,4453.3615542100615,556.1546283721924,546.5362160205841
R107.txt,4394.9019429975215,4434.810288956319,756.2708051681518,663.3354887962341
R201.txt,3456.7095638584324,3531.913142278399,390.53668518066405,337.2584249973297
R202.txt,3381.258662542303,3399.874509396256,679.8503371238709,736.7607390880585
R203.txt,3170.302517764532,3213.832947840833,1334.1715945720673,1314.8359098434448
R204.txt,3102.383637695535,3118.237739699672,2978.5489594459536,2742.11726808548
R205.txt,3303.967427736812,3319.1960819460414,594.7796891212463,578.0442008972168
R206.txt,3219.6750444295594,3263.2859018086915,2513.8572467803956,1061.1026883125303
R207.txt,3124.341737751736,3179.3795567874467,1837.1774011611938,1699.6728162765503
RC101.txt,5469.87076364299,5580.397413316496,358.45796337127683,307.67301964759827
RC102.txt,5421.470682830851,5476.104833241725,402.8667922973633,405.67362236976624
RC103.txt,5242.271051052545,5311.289703889195,515.8495452880859,496.4582650661469
RC104.txt,5084.3401762025405,5178.791906118907,768.9385375976562,666.760499715805
RC105.txt,5451.443710520269,5548.297929933484,397.84787945747377,353.9157166481018
RC106.txt,5444.425554959501,5480.0063044744,355.1814016819,376.7655136585236
RC107.txt,5264.947417425543,5386.259836250243,492.8190409660339,496.8741838932037
RC201.txt,4632.850117379145,4750.682443755669,632.3254939556122,599.9711439609528
RC202.txt,4536.019533523524,4588.789762999782,1040.4573668956757,948.8549013137816
RC203.txt,4384.697422933643,4459.7895471640495,1759.2640657424927,1851.3504266738887
RC204.txt,4219.496506532585,4325.7703162775415,2973.3224202632905,2681.785118818283
RC205.txt,4609.325166588574,4669.848647580858,881.6281590938568,860.5313785076141
RC206.txt,4476.693964389904,4568.866365296862,929.1229393959045,921.4440987110138
RC207.txt,4465.057052919375,4544.5191331135675,1371.7373998641967,1242.7249870300293
