INFO:__main__:C101.txt, 7805.993357210556, 184.92713356018066
INFO:__main__:C201.txt, 6695.021829402513, 214.5993630886078
INFO:__main__:R101.txt, 4482.2533612981215, 227.37576818466187
INFO:__main__:R201.txt, 3551.759725905553, 208.76986241340637
INFO:__main__:RC101.txt, 5664.8588164229595, 230.6561894416809
INFO:__main__:RC201.txt, 4632.850117379145, 423.2674789428711
INFO:__main__:C102.txt, 7875.383041846106, 361.53857469558716
INFO:__main__:C202.txt, 5799.982197785328, 796.9475705623627
INFO:__main__:R102.txt, 4527.753146873069, 430.1874921321869
INFO:__main__:R202.txt, 3394.9505498603166, 494.20849347114563
INFO:__main__:RC102.txt, 5512.5337546939045, 322.84078097343445
INFO:__main__:RC202.txt, 4536.019533523524, 948.8549013137817
INFO:__main__:C103.txt, 7993.113650043806, 543.3144752979279
INFO:__main__:C203.txt, 5688.136826173355, 1056.8125567436218
INFO:__main__:R103.txt, 4514.560470705142, 578.868257522583
INFO:__main__:R203.txt, 3170.3025177645313, 732.3641140460968
INFO:__main__:RC103.txt, 5433.02041245497, 467.26440262794495
INFO:__main__:RC203.txt, 4528.979372794391, 1319.5680651664734
INFO:__main__:C104.txt, 8147.618263667911, 590.7951736450195
INFO:__main__:C204.txt, 5678.4532305552475, 1223.1718549728394
INFO:__main__:R104.txt, 4446.498234952201, 505.8255763053894
INFO:__main__:R204.txt, 3102.383637695535, 1917.8237960338593
INFO:__main__:RC104.txt, 5224.6479646195785, 626.4944701194763
INFO:__main__:RC204.txt, 4387.4973896995, 2681.785118818283
INFO:__main__:C101.txt, 7787.28773096222, 261.06683564186096
INFO:__main__:C201.txt, 5717.903930167451, 342.9441602230072
INFO:__main__:R101.txt, 4607.203176464825, 303.1669201850891
INFO:__main__:R201.txt, 3514.9799898663073, 373.26286220550537
INFO:__main__:RC101.txt, 5566.472187817248, 331.9064564704895
INFO:__main__:RC201.txt, 4874.789458581923, 560.7640509605408
INFO:__main__:C102.txt, 7826.120929704814, 382.5158803462982
INFO:__main__:C202.txt, 5747.0101231195595, 804.5052201747894
INFO:__main__:R102.txt, 4558.569662340226, 482.8744578361511
INFO:__main__:R202.txt, 3383.8780817242828, 736.7607390880585
INFO:__main__:RC102.txt, 5521.927679418374, 405.67362236976624
INFO:__main__:RC202.txt, 4608.603734057091, 1120.8740756511688
INFO:__main__:C103.txt, 8162.937179329475, 535.1574258804321
INFO:__main__:C203.txt, 5720.154867196493, 1468.6172380447388
INFO:__main__:R103.txt, 4412.130920662839, 722.0951809883118
INFO:__main__:R203.txt, 3282.869762993606, 1314.8359098434448
INFO:__main__:RC103.txt, 5272.1395283037455, 623.6733005046844
INFO:__main__:RC203.txt, 4384.697422933643, 1841.854538679123
INFO:__main__:C104.txt, 8305.894953438876, 680.3856039047241
INFO:__main__:C204.txt, 5707.650979893862, 2011.1054139137268
INFO:__main__:R104.txt, 4360.615668829386, 686.0395150184631
INFO:__main__:R204.txt, 3109.0404041439315, 2246.441445350647
INFO:__main__:RC104.txt, 5133.109896699327, 666.760499715805
INFO:__main__:RC204.txt, 4234.944715990627, 2619.6677820682526
INFO:__main__:C101.txt, 7817.567723893525, 269.91282868385315
INFO:__main__:C201.txt, 5701.453990706397, 247.9056568145752
INFO:__main__:R101.txt, 4603.7346158795335, 324.07207202911377
INFO:__main__:R201.txt, 3456.7095638584324, 337.2584249973297
INFO:__main__:RC101.txt, 5632.70274386115, 307.67301964759827
INFO:__main__:RC201.txt, 4725.089298833426, 599.9711439609528
INFO:__main__:C102.txt, 7826.159588137881, 343.61409282684326
INFO:__main__:C202.txt, 5697.363660977575, 432.1270091533661
INFO:__main__:R102.txt, 4484.466217566212, 301.6520929336548
INFO:__main__:R202.txt, 3432.621888272859, 623.8833339214325
INFO:__main__:RC102.txt, 5421.470682830851, 306.20671367645264
INFO:__main__:RC202.txt, 4648.16388575368, 792.3675456047058
INFO:__main__:C103.txt, 7936.70680706546, 558.0624656677246
INFO:__main__:C203.txt, 5733.902700075147, 1610.985655784607
INFO:__main__:R103.txt, 4354.525226321403, 489.86555886268616
INFO:__main__:R203.txt, 3197.008452703093, 1126.4451596736908
INFO:__main__:RC103.txt, 5363.05285078827, 496.45826506614685
INFO:__main__:RC203.txt, 4434.314141958399, 1851.3504266738892
INFO:__main__:C104.txt, 8151.708208012487, 884.6360430717468
INFO:__main__:C204.txt, 5742.067573574983, 1857.8966834545135
INFO:__main__:R104.txt, 4459.370820339686, 1070.3378331661224
INFO:__main__:R204.txt, 3119.400308547669, 4173.153030633926
INFO:__main__:RC104.txt, 5188.642108925006, 655.0972518920898
INFO:__main__:RC204.txt, 4421.146382193239, 3855.174018383026
INFO:__main__:C101.txt, 7654.577193973548, 253.15249156951904
INFO:__main__:C201.txt, 5725.806756880355, 267.86827206611633
INFO:__main__:R101.txt, 4591.961863389782, 329.37249875068665
INFO:__main__:R201.txt, 3581.6586070894396, 288.34019351005554
INFO:__main__:RC101.txt, 5469.87076364299, 290.49179339408875
INFO:__main__:RC201.txt, 4790.235618966271, 640.3660807609558
INFO:__main__:C102.txt, 7969.162511256305, 648.6934869289398
INFO:__main__:C202.txt, 5713.008987403862, 901.6723966598511
INFO:__main__:R102.txt, 4558.510411277388, 611.9381146430969
INFO:__main__:R202.txt, 3381.258662542303, 791.1588523387909
INFO:__main__:RC102.txt, 5495.282411788819, 572.6260013580322
INFO:__main__:RC202.txt, 4565.387035145072, 1532.498868227005
INFO:__main__:C103.txt, 8101.155280383341, 783.7316312789917
