Iteration,Instance,Execution Time (s),Best Cost
1,C101.txt,140.63899326324463,7870.6610376427625
2,C101.txt,121.04482531547546,7770.7177948400595
3,C101.txt,98.27423501,7889.577653200055
4,C101.txt,87.54924917,7844.538124574831
5,C101.txt,86.34461760520935,7606.430595902823
6,C101.txt,78.15613246,7777.574194319842
7,C101.txt,95.09759736061096,7982.080496705338
8,C101.txt,97.25887298583984,7745.052450683365
9,C101.txt,135.00575375556946,7956.892725436109
10,C101.txt,113.76248693466187,7874.630447321045
1,R101.txt,113.55686521530151,4622.848544315153
2,R101.txt,110.93399143218994,4626.752086459102
3,R101.txt,113.69014096260071,4669.519313026318
4,R101.txt,114.27553367614746,4586.473843011134
5,R101.txt,117.57879829406738,4585.550651169773
6,R101.txt,117.29858469963074,4574.168633079936
7,R101.txt,119.43592238426208,4627.075541060704
8,R101.txt,120.80162763595581,4659.883966333529
9,R101.txt,119.67280507087708,4662.244212687535
10,R101.txt,122.09113717079163,4666.074723783752
1,RC101.txt,113.89600825309753,5765.690189858191
2,RC101.txt,112.4753189086914,5689.008796238773
3,RC101.txt,105.43450331687927,5597.376964238017
4,RC101.txt,106.23403215408325,5640.365131754228
5,RC101.txt,113.7162594795227,5676.329370612625
6,RC101.txt,113.64432048797607,5736.19961
7,RC101.txt,117.12931537628174,5693.729328308596
8,RC101.txt,111.28164601325989,5585.249847332221
9,RC101.txt,114.20686483383179,5632.268585122461
10,RC101.txt,114.84343075752258,5760.223480689881
1,C201.txt,94.49407005310059,5714.773952548644
2,C201.txt,95.23925137519836,5700.882708950946
3,C201.txt,84.06061482429504,5724.271490140779
4,C201.txt,89.41994595527649,5700.882708950946
5,C201.txt,87.43493318557739,5702.2647346800495
6,C201.txt,105.59286427497864,5706.132885
7,C201.txt,89.84920788,5706.132885
8,C201.txt,96.97230768203735,5701.316257822995
9,C201.txt,97.01805162,5695.021829402513
10,C201.txt,91.51917338371277,5716.864893237865
1,R201.txt,157.6321189403534,3547.5263477624762
2,R201.txt,138.8417637348175,3658.6335614928366
3,R201.txt,151.00868678092957,3630.2492188142205
4,R201.txt,157.53815746307373,3546.4165237351476
5,R201.txt,166.77328491210938,3653.8577166219375
6,R201.txt,163.23929357528687,3585.015577150847
7,R201.txt,164.37483263015747,3646.9347658368506
8,R201.txt,169.6358766555786,3605.5773520604625
9,R201.txt,149.11772346496582,3584.549380529943
10,R201.txt,167.02511048316956,3604.2661048645964
1,RC201.txt,208.34457540512085,4851.422841443909
2,RC201.txt,205.67659902572632,4922.953053592584
3,RC201.txt,202.90135025978088,4728.899704491239
4,RC201.txt,218.5025315284729,4809.546714195007
5,RC201.txt,229.54800295829773,4736.963408007875
6,RC201.txt,210.82209038734436,4918.738108266528
7,RC201.txt,239.71908855438232,4824.194848241321
8,RC201.txt,231.26107335090637,4942.429838751267
9,RC201.txt,211.21513080596924,4974.310078524912
10,RC201.txt,215.4018108844757,4787.2235758950055
1,C106.txt,150.98700189590454,8001.874458422766
2,C106.txt,142.51917600631714,8050.536899202194
3,C106.txt,150.68479371070862,7998.335833481755
4,C106.txt,147.01485681533813,7914.437739342132
5,C106.txt,152.19730257987976,7883.591098714856
6,C106.txt,127.93352317810059,8033.340935397964
7,C106.txt,130.49472975730896,7981.325172323048
8,C106.txt,124.14572739601135,7898.245079451623
9,C106.txt,119.7742657661438,7944.492193496575
10,C106.txt,133.4498975276947,7856.161149641274
1,R106.txt,214.65872645378113,4474.105387102868
2,R106.txt,207.53923797607422,4424.319224294728
3,R106.txt,222.85836482048035,4535.988338999014
4,R106.txt,223.73064851760864,4463.964680389593
5,R106.txt,218.72151494026184,4392.6880510604415
6,R106.txt,217.81167316436768,4565.009213049847
7,R106.txt,231.15955805778503,4594.306679458496
8,R106.txt,257.57726669311523,4534.533968737251
9,R106.txt,241.53782677650452,4553.246810357284
10,R106.txt,250.73968410491943,4472.430567247988
1,RC106.txt,149.04487681388855,5483.519697292712
2,RC106.txt,170.2369406223297,5573.097204074961
3,RC106.txt,156.8522617816925,5680.848917854453
4,RC106.txt,143.23735356330872,5666.592550538835
5,RC106.txt,136.67055773735046,5616.628925926017
6,RC106.txt,131.81253933906555,5480.972069162702
7,RC106.txt,132.9950864315033,5484.028711894023
8,RC106.txt,130.92849040031433,5417.465352644514
9,RC106.txt,131.78228187561035,5475.049722710711
10,RC106.txt,130.70537424087524,5628.112741499813
1,C206.txt,218.2976198196411,5697.007307608653
2,C206.txt,242.95708227157593,5693.248177448304
3,C206.txt,226.12593698501587,5699.005508540381
4,C206.txt,218.49951815605164,5730.070814
5,C206.txt,230.3101089000702,5747.808788
6,C206.txt,234.72825455665588,5701.436467
7,C206.txt,251.72296953201294,5700.1175560932825
8,C206.txt,220.13847279548645,5736.123100708339
9,C206.txt,243.56096529960632,5696.868093782245
10,C206.txt,234.59182024002075,5700.878145662473
1,R206.txt,466.86359882354736,3299.1933161971792
2,R206.txt,424.87965416908264,3240.3198029675164
3,R206.txt,449.17050886154175,3253.3394069603755
4,R206.txt,445.5007336139679,3290.404496
5,R206.txt,444.4461877346039,3335.1794320644663
6,R206.txt,425.0276241,3229.3294356932283
7,R206.txt,427.3159568309784,3304.9195666669452
8,R206.txt,616.0438923835754,3289.483114033943
9,R206.txt,589.6135082244873,3235.915172352455
10,R206.txt,552.0190479755402,3222.3364899159546
1,RC206.txt,538.6015310287476,4790.193621966664
2,RC206.txt,507.9282212257385,4582.340287759964
3,RC206.txt,524.7719883918762,4499.843288670138
4,RC206.txt,507.94402289390564,4649.783289556983
5,RC206.txt,506.00020122528076,4550.465207789455
6,RC206.txt,478.4444172382355,4603.756789995028
7,RC206.txt,522.9014010429382,4613.14573011475
8,RC206.txt,498.95884013175964,4806.86414824452
9,RC206.txt,485.16969180107117,4654.569567058414
10,RC206.txt,481.3218252658844,4558.207568410271
